Nama Lokasi,Tipe Lokasi,Merk HP,Minat Digital,CTR,Durasi Akses (Menit/Minggu),Skor CTR,Skor Durasi Akses (Menit/Minggu),Skor Minat Digital,Level Respons CTR,Level Durasi Akses,Level Minat Digital,Usia,Sesi Login,Segmentasi Pengguna
Starbucks Kemang,Cafe,Vivo,F&B & Culinary Lifestyle,4.6,275,30.666666666666664,45.83333333333333,38.2,Rendah,Sedang,Rendah,34,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Oppo,Entertainment & Streaming,6.6,278,44.0,46.33333333333333,45.2,Sedang,Sedang,Sedang,36,Malam,The Passerby
Stasiun Sudirman,Transportasi,Apple,F&B & Culinary Lifestyle,4.3,403,28.666666666666668,67.16666666666666,47.9,Rendah,Sedang,Sedang,21,Sore,The Passerby
Kopi Kenangan Senayan,Cafe,Apple,F&B & Culinary Lifestyle,0.4,310,2.666666666666667,51.66666666666667,27.2,Rendah,Sedang,Rendah,39,Pagi,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Oppo,Entertainment & Streaming,13.3,259,88.66666666666667,43.16666666666666,65.9,Tinggi,Sedang,Sedang,44,Malam,The Impulse Clicker
Perpustakaan Nasional,Fasilitas Umum,Samsung,F&B & Culinary Lifestyle,11.7,284,77.99999999999999,47.333333333333336,62.7,Tinggi,Sedang,Sedang,42,Sore,The Impulse Clicker
Starbucks Kemang,Cafe,Vivo,F&B & Culinary Lifestyle,13.8,184,92.0,30.666666666666664,61.3,Tinggi,Rendah,Sedang,45,Malam,The Impulse Clicker
Perpustakaan Nasional,Fasilitas Umum,Vivo,Travel & Leisure,8.9,513,59.333333333333336,85.5,72.4,Sedang,Tinggi,Tinggi,25,Malam,The Camper
Stasiun Sudirman,Transportasi,Vivo,Entertainment & Streaming,13.5,546,90.0,91.0,90.5,Tinggi,Tinggi,Tinggi,33,Malam,The Digital Star
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,Travel & Leisure,7.3,304,48.66666666666666,50.66666666666667,49.7,Sedang,Sedang,Sedang,20,Pagi,The Passerby
Plaza Indonesia,Mall,Apple,E-Book & Digital Education,5.0,142,33.33333333333333,23.666666666666668,28.5,Rendah,Rendah,Rendah,37,Siang,The Passerby
Starbucks Kemang,Cafe,Apple,F&B & Culinary Lifestyle,1.0,477,6.666666666666667,79.5,43.1,Rendah,Tinggi,Sedang,24,Malam,The Camper
Plaza Indonesia,Mall,Apple,Entertainment & Streaming,5.8,80,38.66666666666666,13.333333333333334,26.0,Rendah,Rendah,Rendah,45,Sore,The Passerby
Stasiun Sudirman,Transportasi,Xiaomi,Entertainment & Streaming,12.8,489,85.33333333333334,81.5,83.4,Tinggi,Tinggi,Tinggi,35,Siang,The Digital Star
Stasiun Sudirman,Transportasi,Vivo,F&B & Culinary Lifestyle,7.3,339,48.66666666666666,56.49999999999999,52.6,Sedang,Sedang,Sedang,21,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Oppo,F&B & Culinary Lifestyle,12.6,190,84.0,31.666666666666664,57.8,Tinggi,Rendah,Sedang,36,Sore,The Impulse Clicker
Stasiun Sudirman,Transportasi,Vivo,Travel & Leisure,9.9,145,66.0,24.166666666666668,45.1,Sedang,Rendah,Sedang,34,Sore,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Samsung,E-Book & Digital Education,5.7,276,38.0,46.0,42.0,Rendah,Sedang,Sedang,41,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Oppo,E-Book & Digital Education,11.3,491,75.33333333333334,81.83333333333334,78.6,Tinggi,Tinggi,Tinggi,18,Pagi,The Digital Star
Plaza Indonesia,Mall,Vivo,F&B & Culinary Lifestyle,15.0,418,100.0,69.66666666666667,84.8,Tinggi,Sedang,Tinggi,23,Malam,The Impulse Clicker
Starbucks Kemang,Cafe,Samsung,F&B & Culinary Lifestyle,14.2,264,94.66666666666669,44.0,69.3,Tinggi,Sedang,Sedang,26,Malam,The Impulse Clicker
Kopi Kenangan Senayan,Cafe,Oppo,F&B & Culinary Lifestyle,8.5,283,56.66666666666666,47.16666666666667,51.9,Sedang,Sedang,Sedang,42,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Apple,Travel & Leisure,9.1,177,60.66666666666667,29.5,45.1,Sedang,Rendah,Sedang,35,Malam,The Passerby
Starbucks Kemang,Cafe,Xiaomi,Travel & Leisure,10.2,444,68.0,74.0,71.0,Sedang,Tinggi,Tinggi,46,Pagi,The Camper
Perpustakaan Nasional,Fasilitas Umum,Apple,F&B & Culinary Lifestyle,10.5,368,70.0,61.33333333333333,65.7,Sedang,Sedang,Sedang,28,Malam,The Passerby
Stasiun Sudirman,Transportasi,Samsung,E-Book & Digital Education,8.0,439,53.333333333333336,73.16666666666667,63.2,Sedang,Tinggi,Sedang,21,Malam,The Camper
Kopi Kenangan Senayan,Cafe,Oppo,Entertainment & Streaming,1.6,430,10.666666666666668,71.66666666666667,41.2,Rendah,Tinggi,Sedang,46,Sore,The Camper
Perpustakaan Nasional,Fasilitas Umum,Vivo,E-Book & Digital Education,9.2,555,61.33333333333333,92.5,76.9,Sedang,Tinggi,Tinggi,41,Malam,The Camper
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,E-Book & Digital Education,12.8,148,85.33333333333334,24.666666666666668,55.0,Tinggi,Rendah,Sedang,28,Siang,The Impulse Clicker
Plaza Indonesia,Mall,Vivo,Travel & Leisure,10.0,404,66.66666666666666,67.33333333333333,67.0,Sedang,Sedang,Sedang,32,Siang,The Passerby
Kopi Kenangan Senayan,Cafe,Oppo,F&B & Culinary Lifestyle,5.3,324,35.333333333333336,54.0,44.7,Rendah,Sedang,Sedang,41,Sore,The Passerby
Plaza Indonesia,Mall,Xiaomi,Travel & Leisure,0.2,255,1.3333333333333337,42.5,21.9,Rendah,Sedang,Rendah,24,Pagi,The Passerby
Kopi Kenangan Senayan,Cafe,Vivo,F&B & Culinary Lifestyle,10.4,562,69.33333333333334,93.66666666666669,81.5,Sedang,Tinggi,Tinggi,31,Pagi,The Camper
Perpustakaan Nasional,Fasilitas Umum,Oppo,F&B & Culinary Lifestyle,4.6,437,30.666666666666664,72.83333333333334,51.8,Rendah,Tinggi,Sedang,39,Malam,The Camper
Perpustakaan Nasional,Fasilitas Umum,Vivo,E-Book & Digital Education,5.3,524,35.333333333333336,87.33333333333333,61.3,Rendah,Tinggi,Sedang,33,Sore,The Camper
Plaza Indonesia,Mall,Apple,E-Book & Digital Education,1.8,249,12.000000000000002,41.5,26.8,Rendah,Sedang,Rendah,43,Pagi,The Passerby
Starbucks Kemang,Cafe,Vivo,Travel & Leisure,9.0,162,60.0,27.0,43.5,Sedang,Rendah,Sedang,38,Pagi,The Passerby
Starbucks Kemang,Cafe,Xiaomi,F&B & Culinary Lifestyle,10.6,189,70.66666666666667,31.5,51.1,Tinggi,Rendah,Sedang,41,Pagi,The Impulse Clicker
Plaza Indonesia,Mall,Apple,Entertainment & Streaming,1.5,72,10.0,12.0,11.0,Rendah,Rendah,Rendah,37,Malam,The Passerby
Stasiun Sudirman,Transportasi,Xiaomi,F&B & Culinary Lifestyle,14.5,318,96.66666666666669,53.0,74.8,Tinggi,Sedang,Tinggi,32,Pagi,The Impulse Clicker
Perpustakaan Nasional,Fasilitas Umum,Oppo,F&B & Culinary Lifestyle,8.7,114,57.99999999999999,19.0,38.5,Sedang,Rendah,Rendah,34,Malam,The Passerby
Starbucks Kemang,Cafe,Samsung,F&B & Culinary Lifestyle,1.8,486,12.000000000000002,81.0,46.5,Rendah,Tinggi,Sedang,37,Malam,The Camper
Stasiun Sudirman,Transportasi,Vivo,Entertainment & Streaming,6.8,513,45.33333333333333,85.5,65.4,Sedang,Tinggi,Sedang,39,Malam,The Camper
Plaza Indonesia,Mall,Vivo,F&B & Culinary Lifestyle,9.1,161,60.66666666666667,26.83333333333333,43.8,Sedang,Rendah,Sedang,28,Malam,The Passerby
Starbucks Kemang,Cafe,Samsung,F&B & Culinary Lifestyle,3.6,136,24.000000000000004,22.666666666666664,23.3,Rendah,Rendah,Rendah,25,Malam,The Passerby
Starbucks Kemang,Cafe,Vivo,Entertainment & Streaming,4.4,297,29.33333333333333,49.5,39.4,Rendah,Sedang,Rendah,24,Malam,The Passerby
Plaza Indonesia,Mall,Oppo,F&B & Culinary Lifestyle,10.3,330,68.66666666666667,55.00000000000001,61.8,Sedang,Sedang,Sedang,19,Malam,The Passerby
Stasiun Sudirman,Transportasi,Oppo,F&B & Culinary Lifestyle,8.2,212,54.66666666666666,35.333333333333336,45.0,Sedang,Rendah,Sedang,40,Malam,The Passerby
Plaza Indonesia,Mall,Xiaomi,Travel & Leisure,11.2,355,74.66666666666666,59.16666666666666,66.9,Tinggi,Sedang,Sedang,41,Malam,The Impulse Clicker
Perpustakaan Nasional,Fasilitas Umum,Oppo,E-Book & Digital Education,7.5,565,50.0,94.16666666666669,72.1,Sedang,Tinggi,Tinggi,37,Malam,The Camper
Perpustakaan Nasional,Fasilitas Umum,Oppo,E-Book & Digital Education,9.1,86,60.66666666666667,14.333333333333334,37.5,Sedang,Rendah,Rendah,18,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Vivo,Travel & Leisure,14.3,335,95.33333333333334,55.833333333333336,75.6,Tinggi,Sedang,Tinggi,19,Pagi,The Impulse Clicker
Stasiun Sudirman,Transportasi,Oppo,Travel & Leisure,9.8,344,65.33333333333334,57.333333333333336,61.3,Sedang,Sedang,Sedang,41,Malam,The Passerby
Starbucks Kemang,Cafe,Oppo,F&B & Culinary Lifestyle,7.1,478,47.333333333333336,79.66666666666666,63.5,Sedang,Tinggi,Sedang,20,Malam,The Camper
Plaza Indonesia,Mall,Apple,E-Book & Digital Education,6.2,567,41.333333333333336,94.5,67.9,Sedang,Tinggi,Sedang,19,Pagi,The Camper
Plaza Indonesia,Mall,Vivo,F&B & Culinary Lifestyle,6.8,382,45.33333333333333,63.66666666666667,54.5,Sedang,Sedang,Sedang,22,Malam,The Passerby
Plaza Indonesia,Mall,Vivo,F&B & Culinary Lifestyle,9.9,533,66.0,88.83333333333333,77.4,Sedang,Tinggi,Tinggi,34,Pagi,The Camper
Perpustakaan Nasional,Fasilitas Umum,Vivo,Entertainment & Streaming,9.4,112,62.66666666666667,18.666666666666668,40.7,Sedang,Rendah,Sedang,35,Malam,The Passerby
Starbucks Kemang,Cafe,Oppo,Entertainment & Streaming,1.8,305,12.000000000000002,50.83333333333333,31.4,Rendah,Sedang,Rendah,37,Pagi,The Passerby
Starbucks Kemang,Cafe,Oppo,F&B & Culinary Lifestyle,3.4,176,22.666666666666664,29.33333333333333,26.0,Rendah,Rendah,Rendah,29,Pagi,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Oppo,E-Book & Digital Education,7.6,339,50.66666666666666,56.49999999999999,53.6,Sedang,Sedang,Sedang,42,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Vivo,F&B & Culinary Lifestyle,5.8,580,38.66666666666666,96.66666666666669,67.7,Rendah,Tinggi,Sedang,32,Sore,The Camper
Starbucks Kemang,Cafe,Oppo,E-Book & Digital Education,14.0,579,93.33333333333331,96.5,94.9,Tinggi,Tinggi,Tinggi,21,Malam,The Digital Star
Plaza Indonesia,Mall,Vivo,Travel & Leisure,15.0,561,100.0,93.5,96.8,Tinggi,Tinggi,Tinggi,37,Malam,The Digital Star
Starbucks Kemang,Cafe,Xiaomi,Travel & Leisure,11.4,446,76.0,74.33333333333333,75.2,Tinggi,Tinggi,Tinggi,35,Siang,The Digital Star
Perpustakaan Nasional,Fasilitas Umum,Apple,Travel & Leisure,5.7,480,38.0,80.0,59.0,Rendah,Tinggi,Sedang,24,Pagi,The Camper
Kopi Kenangan Senayan,Cafe,Oppo,Entertainment & Streaming,14.8,215,98.66666666666669,35.833333333333336,67.2,Tinggi,Rendah,Sedang,24,Pagi,The Impulse Clicker
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,F&B & Culinary Lifestyle,13.1,510,87.33333333333333,85.0,86.2,Tinggi,Tinggi,Tinggi,28,Malam,The Digital Star
Kopi Kenangan Senayan,Cafe,Apple,Entertainment & Streaming,13.1,218,87.33333333333333,36.333333333333336,61.8,Tinggi,Rendah,Sedang,46,Sore,The Impulse Clicker
Kopi Kenangan Senayan,Cafe,Vivo,Entertainment & Streaming,9.7,396,64.66666666666666,66.0,65.3,Sedang,Sedang,Sedang,36,Sore,The Passerby
Stasiun Sudirman,Transportasi,Oppo,Travel & Leisure,0.5,130,3.333333333333333,21.666666666666668,12.5,Rendah,Rendah,Rendah,24,Siang,The Passerby
Starbucks Kemang,Cafe,Apple,F&B & Culinary Lifestyle,6.5,160,43.333333333333336,26.666666666666668,35.0,Sedang,Rendah,Rendah,37,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Samsung,F&B & Culinary Lifestyle,4.9,117,32.66666666666667,19.5,26.1,Rendah,Rendah,Rendah,37,Siang,The Passerby
Plaza Indonesia,Mall,Apple,Travel & Leisure,6.2,244,41.333333333333336,40.66666666666666,41.0,Sedang,Sedang,Sedang,42,Pagi,The Passerby
Starbucks Kemang,Cafe,Oppo,Travel & Leisure,10.2,569,68.0,94.83333333333334,81.4,Sedang,Tinggi,Tinggi,19,Pagi,The Camper
Stasiun Sudirman,Transportasi,Xiaomi,Entertainment & Streaming,3.8,69,25.33333333333333,11.5,18.4,Rendah,Rendah,Rendah,26,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Samsung,Entertainment & Streaming,14.2,366,94.66666666666669,61.0,77.8,Tinggi,Sedang,Tinggi,41,Pagi,The Impulse Clicker
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,F&B & Culinary Lifestyle,15.0,554,100.0,92.33333333333331,96.2,Tinggi,Tinggi,Tinggi,19,Malam,The Digital Star
Kopi Kenangan Senayan,Cafe,Vivo,E-Book & Digital Education,14.9,362,99.33333333333334,60.333333333333336,79.8,Tinggi,Sedang,Tinggi,35,Pagi,The Impulse Clicker
Kopi Kenangan Senayan,Cafe,Vivo,F&B & Culinary Lifestyle,13.7,568,91.33333333333331,94.66666666666669,93.0,Tinggi,Tinggi,Tinggi,46,Malam,The Digital Star
Plaza Indonesia,Mall,Apple,F&B & Culinary Lifestyle,9.3,200,62.0,33.33333333333333,47.7,Sedang,Rendah,Sedang,35,Pagi,The Passerby
Kopi Kenangan Senayan,Cafe,Oppo,F&B & Culinary Lifestyle,8.7,194,57.99999999999999,32.33333333333333,45.2,Sedang,Rendah,Sedang,37,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Apple,F&B & Culinary Lifestyle,2.0,434,13.333333333333334,72.33333333333334,42.8,Rendah,Tinggi,Sedang,33,Pagi,The Camper
Stasiun Sudirman,Transportasi,Apple,E-Book & Digital Education,13.7,553,91.33333333333331,92.16666666666666,91.8,Tinggi,Tinggi,Tinggi,20,Sore,The Digital Star
Plaza Indonesia,Mall,Samsung,Entertainment & Streaming,14.4,204,96.0,34.0,65.0,Tinggi,Rendah,Sedang,21,Malam,The Impulse Clicker
Starbucks Kemang,Cafe,Vivo,E-Book & Digital Education,1.4,464,9.333333333333332,77.33333333333333,43.3,Rendah,Tinggi,Sedang,34,Malam,The Camper
Kopi Kenangan Senayan,Cafe,Xiaomi,E-Book & Digital Education,8.8,440,58.66666666666666,73.33333333333333,66.0,Sedang,Tinggi,Sedang,32,Pagi,The Camper
Kopi Kenangan Senayan,Cafe,Vivo,Travel & Leisure,4.9,286,32.66666666666667,47.66666666666667,40.2,Rendah,Sedang,Sedang,46,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Xiaomi,Entertainment & Streaming,1.8,106,12.000000000000002,17.666666666666668,14.8,Rendah,Rendah,Rendah,24,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Apple,Travel & Leisure,2.0,524,13.333333333333334,87.33333333333333,50.3,Rendah,Tinggi,Sedang,43,Pagi,The Camper
Plaza Indonesia,Mall,Oppo,Travel & Leisure,11.1,218,74.0,36.333333333333336,55.2,Tinggi,Rendah,Sedang,29,Malam,The Impulse Clicker
Perpustakaan Nasional,Fasilitas Umum,Vivo,Entertainment & Streaming,14.1,346,94.0,57.66666666666666,75.8,Tinggi,Sedang,Tinggi,31,Malam,The Impulse Clicker
Kopi Kenangan Senayan,Cafe,Oppo,F&B & Culinary Lifestyle,12.8,161,85.33333333333334,26.83333333333333,56.1,Tinggi,Rendah,Sedang,32,Malam,The Impulse Clicker
Plaza Indonesia,Mall,Samsung,Entertainment & Streaming,4.1,185,27.33333333333333,30.833333333333336,29.1,Rendah,Rendah,Rendah,35,Sore,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Vivo,F&B & Culinary Lifestyle,0.8,401,5.333333333333334,66.83333333333333,36.1,Rendah,Sedang,Rendah,26,Malam,The Passerby
Starbucks Kemang,Cafe,Samsung,Travel & Leisure,3.1,281,20.666666666666668,46.833333333333336,33.8,Rendah,Sedang,Rendah,40,Malam,The Passerby
Starbucks Kemang,Cafe,Vivo,F&B & Culinary Lifestyle,4.2,208,28.000000000000004,34.66666666666667,31.3,Rendah,Rendah,Rendah,21,Pagi,The Passerby
Starbucks Kemang,Cafe,Samsung,F&B & Culinary Lifestyle,2.0,426,13.333333333333334,71.0,42.2,Rendah,Tinggi,Sedang,41,Sore,The Camper
Starbucks Kemang,Cafe,Xiaomi,F&B & Culinary Lifestyle,1.9,491,12.666666666666664,81.83333333333334,47.2,Rendah,Tinggi,Sedang,41,Malam,The Camper
Stasiun Sudirman,Transportasi,Oppo,E-Book & Digital Education,7.7,171,51.33333333333333,28.5,39.9,Sedang,Rendah,Rendah,31,Malam,The Passerby
